"Hash","Path"
"677A3566789D4DA5459A1ECD01A297C261A133A2","C:\Program Files (x86)\Windows Mail\wab.exe"
"0D6A148BD53536C88F4853B729CC32F7CE54DE21","C:\Program Files (x86)\Windows Mail\wabmig.exe"
"A056BEB92B73675F58CCF211A2E5090F39770AC9","C:\Program Files (x86)\Windows Media Player\setup_wm.exe"
"7D483513C0B448172855C8F2776C9D5D9AE87F14","C:\Program Files (x86)\Windows Media Player\wmlaunch.exe"
"28FA08EC1AE5659728B78B3CC287B3646D35E007","C:\Program Files (x86)\Windows Media Player\wmpconfig.exe"
"4016C560BF32ED6DD672A146891D33760D0E4C46","C:\Program Files (x86)\Windows Media Player\wmplayer.exe"
"8674FFAA10A484022847AD08DE84152E9BA781F4","C:\Program Files (x86)\Windows Media Player\wmprph.exe"
"CEDFD266AAB1B7DAA41B0B1AE48787B7B599B4D0","C:\Program Files (x86)\Windows Media Player\wmpshare.exe"
"C017E91A526DFBB37293CD79D86A1D7261ED0141","C:\Program Files (x86)\Windows NT\Accessories\wordpad.exe"
"37C8B8B4A7D8E361D951433B8C4CDFA4AB45A8CF","C:\Program Files (x86)\Windows Photo Viewer\ImagingDevices.exe"
"FD7B75D56383B1480CF65EDFC134221999894746","C:\Windows\bfsvc.exe"
"E05B25105D7C0814F051BB81299D836B423FEA6E","C:\Windows\explorer.exe"
"2E5284A0574F5B17ADF2C5105DC0F598919BD92D","C:\Windows\HelpPane.exe"
"0111959E0F521D0C01D258ABBB42BBA9C23E407D","C:\Windows\hh.exe"
"FE48F836ED5264320F4C28E01A4225DC01329D11","C:\Windows\notepad.exe"
"95A9C5AEE9B5211B93520B3CD965F2D20274DD9E","C:\Windows\regedit.exe"
"57CE75D728BCFCAA6F373C9461D7D4DA0787842E","C:\Windows\splwow64.exe"
"1529C6CF3265311B690992DC975443B35177BC7C","C:\Windows\winhlp32.exe"
"9F184E48F17F104C6A476687E8E760A65A0326B5","C:\Windows\write.exe"
"B64202FC95EDABAE84D14C5DC233CE1A125B0EDC","C:\Windows\ADAM\adaminstall.exe"
